alt,apps,batt_voltage,cg_accel_x,cg_accel_y,cg_accel_z,coolant_temp,epoch,fr_adc1,fr_adc2,fr_adc3,fr_adc4,gear,lambda,lat,lon,map,nanos,oil_pa,rpm,timestamp,tps
234333,346,133,108,65339,2520,2966,1731130525,708,624,562,1469,0,866,30.3863177,97.7244512,540,474784142,6222,5213,1731130525,178
234342,350,134,98,65477,2490,2966,1731130525,709,629,563,1470,0,882,30.3863177,97.7244513,536,574784116,6233,5564,1731130525,178
234352,349,134,108,65467,2490,2967,1731130525,706,625,562,1466,0,890,30.3863176,97.7244513,524,674784090,6246,5407,1731130525,178
234359,348,134,98,65477,2442,2967,1731130525,706,626,562,1467,0,862,30.3863176,97.7244513,528,774784064,6236,5236,1731130525,178
234367,349,134,108,65487,2491,2967,1731130525,706,624,561,1473,0,873,30.3863176,97.7244513,534,874784037,6228,5396,1731130525,178
234368,350,134,88,65487,2452,2967,1731130525,703,622,562,1466,0,865,30.3863176,97.7244513,525,974784011,6227,5412,1731130525,178
234382,350,134,118,65467,2510,2971,1731130526,708,626,562,1463,0,896,30.3863176,97.7244513,528,174783958,6264,5368,1731130526,178
234386,348,134,118,65477,2490,2971,1731130526,705,624,563,1466,0,874,30.3863176,97.7244514,540,274783932,6242,5070,1731130526,178
234385,350,134,118,65477,2501,2972,1731130526,703,623,564,1469,0,862,30.3863176,97.7244514,540,374783906,6243,5212,1731130526,178
234387,350,134,127,65467,2510,2972,1731130526,706,627,563,1462,0,885,30.3863176,97.7244514,538,474783879,6248,5556,1731130526,178
234396,345,134,108,65477,2510,2974,1731130526,705,626,563,1464,0,883,30.3863176,97.7244514,523,574783853,6260,5450,1731130526,178
234399,346,134,118,65438,2500,2974,1731130526,703,622,563,1471,0,884,30.3863176,97.7244514,529,674783827,6231,5306,1731130526,178
234407,350,134,118,65448,2481,2975,1731130526,706,626,562,1467,0,869,30.3863176,97.7244514,532,774783801,6255,5296,1731130526,178
234408,347,134,108,65467,2490,2975,1731130526,703,626,564,1469,0,880,30.3863176,97.7244515,537,874783774,6231,5316,1731130526,178
234402,345,134,118,65477,2501,2976,1731130526,709,630,564,1471,0,856,30.3863176,97.7244515,531,974783748,6262,5470,1731130526,178
234405,350,134,108,65487,2443,2976,1731130527,700,621,561,1468,0,891,30.3863176,97.7244515,528,74783722,6230,5249,1731130527,178
234410,350,134,137,65497,2531,2977,1731130527,703,623,563,1470,0,888,30.3863176,97.7244515,534,174783696,6239,5500,1731130527,178
234416,346,134,98,65487,2442,2977,1731130527,699,622,563,1473,0,905,30.3863176,97.7244515,520,274783669,6256,5359,1731130527,178
234420,348,134,108,65369,2461,2979,1731130527,705,624,563,1467,0,900,30.3863176,97.7244515,531,374783643,6247,5343,1731130527,178
234415,350,134,118,32670,2500,2980,1731130527,703,622,562,1465,0,883,30.3863176,97.7244516,520,474783617,6277,5515,1731130527,178
234418,353,134,98,65359,2442,2980,1731130527,705,624,562,1464,0,899,30.3863176,97.7244516,516,574783591,6255,5431,1731130527,178
234418,347,134,127,65438,2551,2981,1731130527,706,623,561,1464,0,880,30.3863176,97.7244516,523,674783564,6249,5339,1731130527,178
234420,351,134,98,65458,2471,2981,1731130527,701,622,563,1465,0,889,30.3863176,97.7244516,529,774783538,6242,5428,1731130527,178
234420,350,134,98,65497,2481,2983,1731130527,704,625,562,1467,0,872,30.3863176,97.7244516,523,874783512,6228,5494,1731130527,178
234422,346,134,108,65477,2470,2983,1731130528,704,624,562,1466,0,894,30.3863176,97.7244517,516,74783459,6248,5394,1731130528,178
234426,347,134,108,65467,2490,2984,1731130528,704,624,561,1465,0,894,30.3863175,97.7244517,523,174783433,6263,5475,1731130528,178
234422,351,134,98,65487,2530,2984,1731130528,710,629,563,1470,0,893,30.3863175,97.7244517,524,274783407,6266,5385,1731130528,178
234414,345,134,98,65487,2461,2986,1731130528,708,626,562,1469,0,896,30.3863175,97.7244517,514,374783381,6274,5673,1731130528,178
234397,349,134,98,65467,2453,2986,1731130528,705,626,562,1470,0,891,30.3863175,97.7244518,501,474783355,6289,5607,1731130528,178
234381,350,134,108,65487,2453,2987,1731130528,705,624,562,1472,0,891,30.3863176,97.7244518,498,574783329,6274,5552,1731130528,178
234368,350,134,98,65477,2530,2987,1731130528,707,627,563,1467,0,876,30.3863176,97.7244518,516,674783302,6275,5277,1731130528,178
234366,349,134,127,65458,2530,2989,1731130528,701,623,563,1470,0,893,30.3863176,97.7244518,524,774783276,6254,5444,1731130528,178
234366,349,134,118,65477,2550,2989,1731130528,700,623,563,1463,0,899,30.3863176,97.7244518,516,874783250,6275,5683,1731130528,178
234365,349,134,118,65467,2531,2990,1731130528,708,629,563,1469,0,909,30.3863177,97.7244518,502,974783224,6266,5609,1731130528,178
234362,343,134,127,65448,2500,2990,1731130529,705,625,563,1465,0,895,30.3863177,97.7244518,508,74783197,6262,5238,1731130529,178
234355,351,134,127,65467,2500,2992,1731130529,705,624,562,1467,0,894,30.3863177,97.7244518,531,174783171,6246,5162,1731130529,178
234359,350,134,108,65467,2520,2992,1731130529,710,627,566,1481,0,912,30.3863178,97.7244518,535,274783145,6226,5116,1731130529,177
234358,343,134,98,65487,2461,2993,1731130529,707,626,565,1479,0,935,30.3863178,97.7244518,542,374783119,6183,5264,1731130529,177
234358,345,134,108,65467,2511,2993,1731130529,705,623,565,1477,0,933,30.3863178,97.7244519,541,474783092,6210,5299,1731130529,177
234362,349,134,108,65458,2491,2995,1731130529,712,631,567,1479,0,917,30.3863178,97.7244519,542,574783066,6208,5065,1731130529,177
234363,349,134,108,65438,2480,2998,1731130529,706,625,565,1476,0,929,30.3863179,97.7244519,544,774783014,6229,5424,1731130529,177
234363,345,134,108,65467,2560,2998,1731130529,708,626,565,1480,0,898,30.3863179,97.7244519,527,774783014,6263,5467,1731130529,177
234366,348,134,118,65467,2500,2997,1731130529,715,631,567,1469,0,894,30.3863179,97.7244519,523,874782988,6238,5405,1731130529,177
234350,349,134,98,65448,2510,2997,1731130530,706,624,565,1478,0,880,30.386318,97.724452,522,74782935,6268,5486,1731130530,177
234353,345,134,118,65497,2510,2999,1731130530,705,625,565,1479,0,876,30.386318,97.724452,519,174782909,6263,5443,1731130530,177
234353,351,134,118,65487,2520,2999,1731130530,707,626,565,1479,0,871,30.386318,97.724452,526,274782883,6253,5394,1731130530,177
234349,350,134,108,65507,2432,3001,1731130530,707,626,565,1468,0,880,30.386318,97.724452,516,374782857,6275,5590,1731130530,177
234349,350,134,118,65477,2530,3001,1731130530,707,627,566,1473,0,883,30.386318,97.7244521,503,474782830,6265,5645,1731130530,177
234340,344,134,118,65398,2481,3002,1731130530,712,632,567,1478,0,847,30.3863181,97.7244521,494,574782804,6283,5666,1731130530,177
234336,349,134,127,65438,2551,3002,1731130530,713,632,567,1480,0,861,30.3863181,97.7244521,502,674782778,6286,5432,1731130530,177
234340,353,134,98,65477,2452,3004,1731130530,707,625,565,1475,0,847,30.3863181,97.7244521,516,774782752,6297,5347,1731130530,177
234333,343,134,98,65448,2540,3004,1731130530,706,624,566,1469,0,879,30.3863182,97.7244521,523,874782726,6275,5462,1731130530,177
234334,350,134,127,65477,2541,3006,1731130530,708,628,566,1480,0,886,30.3863182,97.7244522,512,974782700,6277,5664,1731130530,177
234332,346,134,98,65458,2480,3006,1731130531,704,626,565,1476,0,880,30.3863182,97.7244522,496,74782674,6312,5749,1731130531,177
234330,345,134,88,65497,2453,3008,1731130531,703,625,566,1473,0,906,30.3863183,97.7244522,483,174782647,6325,5728,1731130531,177
234334,344,134,98,65497,2443,3008,1731130531,707,626,564,1474,0,882,30.3863183,97.7244522,499,274782621,6272,5420,1731130531,177
234333,352,134,127,65467,2551,3008,1731130531,709,629,566,1476,0,887,30.3863183,97.7244522,515,374782595,6246,5190,1731130531,177
234332,351,134,118,65467,2521,3010,1731130531,708,630,566,1470,0,901,30.3863184,97.7244522,526,474782569,6231,5249,1731130531,177
234322,344,134,69,65507,2491,3010,1731130531,706,623,563,1476,0,924,30.3863184,97.7244522,531,574782543,6237,5479,1731130531,177
234317,343,134,147,65448,2501,3011,1731130531,707,628,565,1479,0,922,30.3863184,97.7244522,519,674782517,6251,5538,1731130531,177
234309,345,134,88,65477,2511,3011,1731130531,704,623,563,1475,0,934,30.3863185,97.7244523,502,874782465,6260,5770,1731130531,177
234301,345,134,127,65487,2461,3013,1731130531,711,629,566,1472,0,950,30.3863185,97.7244523,484,974782438,6304,5754,1731130531,177
234301,346,134,127,65497,2460,3013,1731130531,707,625,565,1469,0,905,30.3863185,97.7244523,476,974782438,6299,5740,1731130531,177
234310,346,134,127,65467,2510,3014,1731130532,709,630,566,1478,0,909,30.3863185,97.7244523,489,174782386,6286,5398,1731130532,177
234310,343,134,118,65477,2530,3014,1731130532,707,625,564,1475,0,890,30.3863186,97.7244523,516,274782360,6253,5338,1731130532,177
234314,345,134,118,65497,2453,3016,1731130532,705,627,564,1469,0,899,30.3863186,97.7244523,521,374782334,6263,5381,1731130532,177
234315,351,134,98,65487,2490,3016,1731130532,709,631,565,1475,0,915,30.3863186,97.7244524,526,474782308,6237,5390,1731130532,177
234322,350,134,118,65516,2460,3016,1731130532,703,621,563,1468,0,932,30.3863186,97.7244524,522,574782282,6228,5434,1731130532,177
234315,346,134,118,65477,2461,3016,1731130532,707,626,565,1472,0,965,30.3863186,97.7244524,517,674782256,6243,5526,1731130532,177
234307,343,134,98,65458,2480,3020,1731130532,715,635,567,1480,0,965,30.3863186,97.7244524,519,774782230,6236,5445,1731130532,177
234300,352,134,108,65438,2530,3020,1731130532,707,625,565,1477,0,955,30.3863187,97.7244524,503,874782204,6274,5739,1731130532,176
234288,346,134,118,65448,2453,3021,1731130532,704,624,565,1467,0,918,30.3863187,97.7244524,492,974782177,6268,5623,1731130532,176
234282,344,134,118,65467,2470,3021,1731130533,710,630,566,1476,0,887,30.3863187,97.7244524,518,74782151,6276,5047,1731130533,176
234284,345,134,118,65458,2520,3023,1731130533,708,625,564,1470,0,886,30.3863188,97.7244524,534,174782125,6240,5291,1731130533,177
234271,343,134,108,65477,2491,3023,1731130533,706,622,564,1477,0,896,30.3863188,97.7244525,539,274782099,6213,5193,1731130533,176
234263,343,134,118,65467,2531,3024,1731130533,705,627,564,1481,0,871,30.3863188,97.7244524,532,374782073,6252,5535,1731130533,176
234259,352,134,118,65507,2521,3025,1731130533,706,624,565,1468,0,904,30.3863188,97.7244524,526,474782047,6235,5337,1731130533,177
234250,346,134,137,65497,2521,3025,1731130533,702,622,564,1482,0,886,30.3863189,97.7244524,528,574782021,6233,5215,1731130533,176
234240,347,134,118,65438,2521,3027,1731130533,713,631,566,1479,0,893,30.3863189,97.7244524,533,674781995,6217,5343,1731130533,177
234219,342,134,118,65458,2490,3027,1731130533,709,626,564,1475,0,891,30.386319,97.7244524,530,874781943,6251,5221,1731130533,176
234219,342,134,108,65467,2471,3029,1731130533,706,623,563,1475,0,865,30.386319,97.7244524,534,874781943,6253,5262,1731130533,176
234197,345,134,118,65487,2480,3029,1731130534,706,626,564,1475,0,874,30.386319,97.7244524,538,74781891,6238,5014,1731130534,176
